id,courseName,academy,applicationDeadline
8518,Artificial Intelligence and Robotics (MSc),Hof University of Applied Sciences,<p>Our <strong><a href=https://www3.primuss.de/cgi-bin/bew_anmeldung_v2/index.pl?Session=&amp;FH=fhh&amp;Email=&amp;Portal=1&amp;Language=en">application portal</a></strong> is open during the following application period:&nbsp;</p>
,,,
<p><strong>5 November &ndash; 30 November</strong> for the following summer semester</p>",,,
4122,Automotive Software Engineering,Chemnitz University of Technology,"<p>15 July for the following winter semester<br />
15 January for the following summer semester</p>"
3799,Autonomous Systems (MSc),Hochschule Bonn-Rhein-Sieg,"<p>There are two semesters per year, winter (starts the first week of September) and summer (starts the first week of March).<br />
The application windows for both semesters open the year before the semester starts: for the winter semester, it opens on 15 November, and for the summer semester, it opens on 15 May.</p>

<p>The deadlines are as follows:</p>

<p>For international students requiring a visa to study in Germany:<br />
For the winter semester: 15 January of the same year in which the semester starts<br />
For the summer semester: 15&nbsp;July of the year before the semester starts<br />
<br />
For students who do not require a visa to study in Germany:<br />
For the winter semester: 15 August of the same year in which the semester starts<br />
For the summer semester: 15 February of the same year in which the semester starts</p>"
4503,Biochemistry (MSc),University of T邦bingen,"<p>Autumn semester: 31 May<br />
Spring semester: 15 January</p>"
6119,Bioinformatics (MSc),University of T邦bingen,"<p>Non-EU applicants: 15 July for the following winter semester,&nbsp;15 January&nbsp;for the following summer semester</p>

<p>EU applicants: 15 September for the following the winter semester, 15&nbsp;March for the following&nbsp;summer semester</p>"
3737,Business Consulting Master (BCM),Furtwangen University,"<p>15 October of each year for the following summer semester</p>

<p>The application period is open from 15 April and ends on 15 October (for all applicants: EU and non-EU).</p>"
7054,Business Intelligence and Data Analytics,Hochschule Emden/Leer - University of Applied Sciences,"<p><strong>For the winter semester (September to January)</strong></p>

<p>Non-EU Bachelor&#39;s degree applicants: 1 February to 30 April<br />
EU Bachelor&#39;s degree applicants: 1 May to 15 July</p>

<p><strong>For the summer semester (March to July)</strong></p>

<p>Non-EU Bachelor&#39;s degree applicants: 1 June to 30 September<br />
EU Bachelor&#39;s degree applicants: 1 December to 15 January</p>"
8443,Cognitive Systems (MSc),University of Hildesheim,"<p>Non-EU applicants: 30 June for the following winter semester<br />
EU applicants: 31 August for the following winter semester</p>

<p>Non-EU applicants: 15 December for the following summer semester<br />
EU applicants: 15 February for the following summer semester</p>"
4354,Communication Systems and Networks (Master of Science),TH K?ln (University of Applied Sciences),"<p>Application deadline uni-assist: 31 March for the following winter semester and 31 October for the following summer semester</p>

<p>Please also check the &quot;How to Apply&quot; section of the individual TH K&ouml;ln programme websites: <a href=http://www.th-koeln.de/en/academics/programs_5797.php"" target=""_blank"">http://www.th-koeln.de/programs</a>.</p>"""
3698,Communications Engineering 每 Master's Study Programme,RWTH Aachen University,"<p>Non-EU applicants: 1 March for the following winter semester<br />
EU applicants: 15 July for the following winter semester</p>

<p>Non-EU applicants: 1 September for the following summer semester<br />
EU applicants: 15 January for the following summer semester</p>"
8294,Computational Linguistics / Computerlinguistik,University of T邦bingen,"<p>For non-EU citizens:<br />
15 January of the same year for the summer semester (starting in April)<br />
15 July&nbsp;of the same year for the winter semester (starting in October)</p>

<p>For EU citizens:<br />
15 March of the same year for the summer semester (starting in April)<br />
15&nbsp; September of the same year for the winter semester (starting in October)</p>"
4249,Computer and Information Science (MSc),University of Konstanz,"<p><strong>Summer semester</strong>: 15 December (visa required for Germany) or 15 January</p>

<p><strong>Winter semester</strong>: 15 May (visa required for Germany) or 15 June</p>

<p>The application portal is closed outside of the application periods. You can find information on the application periods <a href=https://www.informatik.uni-konstanz.de/studium/master-of-science/msc-computer-and-information-science/study/master-of-science/master-computer-and-information-science/prospective-students-and-application/"">here</a>.</p>"""
5226,Computer Engineering 每 Master's Study Programme,RWTH Aachen University,"<p>Non-EU applicants: 1 March for the following winter semester<br />
EU applicants: 15 July for the following winter semester</p>

<p>Non-EU applicants: 1 September for the following summer semester<br />
EU applicants: 15 January for the following summer semester</p>"
7606,Computer Science,University of Bonn,"<p>For the winter semester: 1 May for non-EU citizens, 15 September for EU citizens and nationals from countries that are visa-exempted<br />
For the summer semester: 1 November for non-EU citizens, 15 March for EU citizens and nationals from countries that are visa-exempted</p>"
3629,Computer Science (Master of Science),RPTU University of Kaiserslautern-Landau,"<p>For international applicants applying from abroad who need a visa:<br />
30 April for the following winter semester<br />
31 October for the following summer semester</p>

<p>Others:<br />
15 January for the following summer semester<br />
15 July for the following winter semester</p>"
4238,Computer Science for Digital Media,Bauhaus-Universit?t Weimar,"<p>Applicants who graduated outside the European Union:<br />
15 July for the following winter semester<br />
15 January for the following summer semester</p>

<p>Applicants who graduated within the EU:<br />
30 September for the following winter semester<br />
31 March for the following summer semester</p>"
7618,Computer Science International (CSI),University of Rostock,<p>Please check the application periods online at <a href=https://www.uni-rostock.de/en/study/international-students/degree-students/application-for-non-german-prospective-students-via-uni-assist/">https://www.uni-rostock.de/en/study/international-students/degree-students/application-for-non-german-prospective-students-via-uni-assist/</a>.</p>"
5646,Computer Science 每 Focus on Big Data and Artificial Intelligence (MSc),SRH Berlin University of Applied Sciences,<p>Non-EU/EEA applicants: Please <a href=https://apply.srh.de/">apply</a> at least three months before the start of the programme.</p>
,,,
<p>EU/EEA applicants: We accept <a href="https://apply.srh.de/">applications</a> until the start of the programme.</p>",,,
5436,Computer Science 每 Focus on Cyber Security (MSc),SRH Berlin University of Applied Sciences,<p>Non-EU/EEA applicants: Please <a href=https://apply.srh.de/">apply</a> at least three months before the start of the programme.</p>
,,,
<p>EU/EEA applicants: We accept <a href="https://apply.srh.de/">applications</a> until the start of the programme.</p>",,,
5245,"Computer Science, Master of Science (MSc)",University of Bayreuth,"<ul>
	<li>Winter semester: 15 April to 15 July</li>
	<li>Summer semester: 15 October to 15 January</li>
</ul>

<p>&nbsp;</p>"
6993,Construction & Robotics,RWTH Aachen University,"<p>The application procedure as well as application deadlines are handled by the administration of RWTH Aachen University. Therefore, please consult the RWTH websites for details. Depending on your geographical background, please refer to the different procedures for EU/EEA citizens and non-EU citizens.</p>

<p>Unless stated otherwise by the RWTH, the application deadline for <strong>EU/EEA citizens</strong> for<strong> </strong>winter semester is 15 July and for summer semester 15 January.</p>

<p>If not stated otherwise by the RWTH, the application deadline for <strong>non-EU citizens</strong> for winter semester is 1 March and for summer semester 1 September.</p>"
5561,Data Analytics (MSc),University of Hildesheim,"<p>Non-EU applicants: 30 June for the following winter semester<br />
EU applicants: 31 August for the following winter semester</p>

<p>Non-EU applicants: 15 December for the following summer semester<br />
EU applicants: 15 February for the following summer semester</p>"
4713,Data Engineering and Analytics (MSc),Technical University Munich,"<p>Winter semester: 31 May<br />
Summer semester: 30 November</p>"
7636,Data Science,RWTH Aachen University,"<p>Non-EU applicants:</p>

<ul>
	<li>1 March for the following winter semester</li>
	<li>1 September for the following summer semester</li>
</ul>

<p>EU applicants:</p>

<ul>
	<li>15 July for the following winter semester</li>
	<li>15 January for the following summer semester</li>
</ul>

<p><a href=https://www.rwth-aachen.de/go/id/dqml/lidx/1"">Click here</a> for details and exceptions.</p>"""
7660,Data Science,Technische Universit?t Braunschweig,"<p>Winter semester:</p>

<p>15 March (for non-EU applicants)<br />
15 July (for EU applicants and applicants not subject to visa requirements)</p>

<p>Summer semester:</p>

<p>15 September (for non-EU applicants)<br />
15 January (for EU applicants and applicants not subject to visa requirements)</p>"
8285,Data Science,Kiel University of Applied Sciences,<p><a href=https://www.fh-kiel.de/en/degree-courses/information-for-prospective-students/courses-and-application/">https://www.fh-kiel.de/en/degree-courses/information-for-prospective-students/courses-and-application/</a></p>"
4429,Data Science: Master's Degree in Data & Knowledge Engineering (MDKE),Otto von Guericke University Magdeburg,"<p>Winter semester: 15 May (international applicants)<br />
Summer semester: 15 November (international applicants)</p>"
4489,"Design and Interaction, MA",Rhine-Waal University of Applied Sciences,<p>All applicants: 15 January for the following summer semester</p>
8265,Digital Engineering,Bauhaus-Universit?t Weimar,"<p>Applicants who graduated outside of Europe: 15 July for the following winter semester or 15 January for the following summer semester</p>

<p>Applicants who graduated in Europe and do not need a visa: 30 September for the following winter semester or 31 March for the following summer semester</p>

<p><strong>Please note: Current information on application modalities and deadlines can be found at&nbsp;<a href=https://www.uni-weimar.de/de/bauingenieurwesen/studium/master/digital-engineering-msc/"">our website.</a></strong></p>"""
4427,Digital Engineering (DigiEng),Otto von Guericke University Magdeburg,"<p>Winter semester: 15 May (international applicants)<br />
Summer semester: 15 November (international applicants)</p>"
8353,Digital Sciences (Master of Science),TH K?ln (University of Applied Sciences),"<p>Please check the &quot;How to Apply&quot; section of the individual TH K&ouml;ln programme websites for current application deadlines.<br />
See: <a href=http://www.th-koeln.de/en/academics/programs_5797.php"" target=""_blank"">http://www.th-koeln.de/programs</a></p>"""
7790,Digital Transformation Management 每 Focus on Business Analytics or IT Management (MSc),SRH Berlin University of Applied Sciences,<p>Non-EU/EEA applicants: Please <a href=https://apply.srh.de/">apply</a> at least three months before the start of the programme.</p>
,,,
<p>EU/EEA applicants: We accept <a href="https://apply.srh.de/">applications</a> until the start of the programme.</p>",,,
7786,Digital Transformation Management 每 Focus on Cyber Security or Software Engineering (MSc),SRH Berlin University of Applied Sciences,<p>Non-EU/EEA applicants: Please <a href=https://apply.srh.de/">apply</a> at least three months before the start of the programme.</p>
,,,
<p>EU/EEA applicants: We accept <a href="https://apply.srh.de/">applications</a> until the start of the programme.</p>",,,
6924,E-Government (MSc),University of Koblenz,"<ul>
	<li>EU applicants:<br />
	15 January for the summer semester<br />
	15 July for the winter semester</li>
	<li>Non-EU applicants:<br />
	15 December for the summer semester<br />
	15 June for the winter semester</li>
</ul>

<p>Due to the long visa application process, we strongly advise non-EU students to apply for the summer semester by 15 November and for the winter semester by 15 May.</p>"
8357,Electrical and Computer Engineering (M Eng),Anhalt University of Applied Sciences,"<p>15 January for the following summer semester</p>

<p>15 July for the following winter semester</p>"
3759,Electrical Communication Engineering (MSc),University of Kassel,"<p>For winter semester:</p>

<ul>
	<li>Ap&shy;p&shy;&shy;li&shy;&shy;ca&shy;&shy;ti&shy;on deadline with a de&shy;gree ear&shy;&shy;ned in Ger&shy;&shy;ma&shy;&shy;ny: 1 September</li>
	<li>Ap&shy;p&shy;&shy;&shy;li&shy;&shy;&shy;ca&shy;&shy;&shy;ti&shy;on with a de&shy;gree ear&shy;&shy;&shy;ned outs&shy;i&shy;&shy;de Ger&shy;&shy;&shy;ma&shy;&shy;&shy;ny: 15 July</li>
</ul>

<p>For summer semester:</p>

<ul>
	<li>Ap&shy;p&shy;&shy;li&shy;&shy;ca&shy;&shy;ti&shy;on deadline with a de&shy;gree ear&shy;&shy;ned in Ger&shy;&shy;ma&shy;&shy;ny: 1 March</li>
	<li>Ap&shy;p&shy;&shy;&shy;li&shy;&shy;&shy;ca&shy;&shy;&shy;ti&shy;on with a de&shy;gree ear&shy;&shy;&shy;ned outs&shy;i&shy;&shy;de Ger&shy;&shy;&shy;ma&shy;&shy;&shy;ny: 15 January</li>
</ul>"
4594,Electrical Engineering (EE),University of Rostock,<p>Please check the application periods online at <a href=https://www.uni-rostock.de/en/study/international-students/degree-students/application-for-non-german-prospective-students-via-uni-assist/">https://www.uni-rostock.de/en/study/international-students/degree-students/application-for-non-german-prospective-students-via-uni-assist/</a></p>"
3590,Embedded Computing Systems (ESY),RPTU University of Kaiserslautern-Landau,"<ul>
	<li>Summer semester: 31 October</li>
	<li>Winter semester: 30 April</li>
</ul>"
4399,Embedded Systems Design,Bremerhaven University of Applied Sciences,"<p>Applicants with a&nbsp;<strong>non-European</strong> Bachelor&#39;s degree are required to apply online via uni-assist:</p>

<p><strong>Summer semester: 31 December</strong></p>

<p>Applicants with a&nbsp;<strong>European</strong>&nbsp;Bachelor&#39;s degree can find the complete application procedure&nbsp;here:&nbsp;</p>

<p><strong>Summer semester: 15 February</strong></p>

<p>More information: <a href=https://www.hs-bremerhaven.de/en/study/application-for-master-coursres"">https://www.hs-bremerhaven.de/en/study/application-for-master-coursres</a></p>"""
4677,Expanded Media,Darmstadt University of Applied Sciences,"<p>German applications: 1 August for the winter semester / 1 February for the summer semester<br />
International applications: 1 June for the winter semester / 1 December for the summer semester</p>"
3877,Geoinformatics and Spatial Data Science (MSc),University of M邦nster,"<p>Non-EU applicants: 30 November; EU applicants: from early December to 15 January <strong>for the following summer semester</strong><br />
Non-EU applicants: 31 May; EU applicants: from early June to 15 July <strong>for the following winter semester</strong></p>"
4750,Geomatics,Neubrandenburg University of Applied Sciences,<p>31 May</p>
3686,Global Software Development (MSc),Fulda University of Applied Sciences,"<ul>
	<li><strong>German/EU-/EEA-nationals (regardless of first university certificate&#39;s country of issue): </strong><br />
	30 September for winter semester,<br />
	31 March for summer semester</li>
	<li><strong>Other nationalities with a German university certificate:</strong><br />
	30 September for winter semester,<br />
	31 March for summer semester</li>
	<li><strong>Other nationalities with a foreign university certificate:</strong><br />
	31 May for winter semester,<br />
	1 November for summer semester</li>
</ul>"
3903,High Integrity Systems (HIS),Frankfurt University of Applied Sciences,"<p>15 October for summer semester, 15 April for winter semester</p>"
4686,Human Computer Interaction (HCI),University of Siegen,"<p>Application start: 1 May, deadline: 15 July for winter&nbsp;semester<br />
Application start: 1 November, deadline: 15 January for summer&nbsp;semester</p>"
4660,Human-Computer Interaction (HCI),Bauhaus-Universit?t Weimar,"<p>Applicants who graduated outside the European Union:<br />
15 July for the following winter semester<br />
31 December for the following summer semester</p>

<p>Applicants who graduated within the EU:<br />
30 September for the following winter semester<br />
31 March for the following summer semester</p>"
3607,Informatics (Computer Science) (MSc),Technical University Munich,"<p>Winter semester: 31 May<br />
Summer semester: 30 November</p>"
4517,Informatics: Games Engineering (MSc),Technical University Munich,"<p>Winter semester: 31 May<br />
Summer semester: 30 November</p>"
6146,Information and Communication Technology MSc,FAU Erlangen-N邦rnberg,"<p>Winter semester: 15 July<br />
Summer semester: 15 January</p>"
5222,Information Engineering,Kiel University of Applied Sciences,<p><a href=https://www.fh-kiel.de/en/degree-courses/information-for-prospective-students/courses-and-application/">https://www.fh-kiel.de/en/degree-courses/information-for-prospective-students/courses-and-application/</a></p>"
4343,Information Technology (MEng),SRH University Heidelberg,"<p>There are <strong>no application deadlines</strong>, so you can apply at any time until all of the places in the programme have been taken.</p>"
4728,Intelligent Systems (ISY),Ulm University of Applied Sciences,"<p>1 December for the following summer semester<br />
1 June for the following winter semester</p>"
6968,Interactive Media Systems,Augsburg Technical University of Applied Sciences,"<p>15 June (degree programme starts in October)<br />
15 December (degree programme starts in March)</p>"
6092,International Automotive Engineering (MEng),Technische Hochschule Ingolstadt,"<ol>
	<li>Applicants with a Bachelor&#39;s degree from outside of Germany must first apply via <a href=https://bit.ly/2sTgnDB"">uni-assist</a> by 15 June for the following winter semester and by 1&nbsp;December for the following summer semester at the latest.<br />"
"	If you acquired your&nbsp;Bachelor&#39;s degree outside of Germany", uni-assist has to verify your eligibility to study in Germany and to convert your grades to the German grade system. You will have to submit all required documents to uni-assist online. The process takes four to six weeks.</li>,,
"	<li><a href=""http://bit.ly/2GoD5J4"">PRIMUSS - THI application portal</a>: from 2 May until 15 July&nbsp;for the following winter semester and from 15 November until 15 January&nbsp;for the following summer semester<br />",,,
"	You will have to apply online at the PRIMUSS university application portal. In case of admission", you will have to send all required documents by post later on.</li>,,
</ol>,,,
,,,
<p>Please note that due to the coronavirus situation, application deadlines might change. Please check&nbsp;<a href="https://www.thi.de/en/international/studies/application">the&nbsp;THI&nbsp;website</a> to get up-to-date information regarding the application periods.</p>",,
7017,International Master of Science in Physics,Julius-Maximilians-Universit?t W邦rzburg,"<p>For all applicants:</p>

<ul>
	<li>15 July for the following winter semester</li>
	<li>15 January for the following summer semester</li>
</ul>"
7026,International Master of Science in Quantum Engineering,Julius-Maximilians-Universit?t W邦rzburg,"<p>For all applicants:</p>

<ul>
	<li>15 July for the following winter semester</li>
	<li>15 January for the following summer semester</li>
</ul>"
4632,IT Engineering (MSc),Fachhochschule Wedel University of Applied Sciences,"<p>31 August for the winter semester<br />
28 February for the summer semester</p>"
6274,MA Animation and Game Direction,Darmstadt University of Applied Sciences,"<p>FOR APPLICANTS WITH AN INTERNATIONAL&nbsp;UNDERGRADUATE DEGREE:<br />
Winter semester: 1 June, summer semester: 1 December</p>

<p>FOR APPLICANTS WITH A GERMAN BACHELOR&#39;S DEGREE OR &quot;DIPLOM&quot;:<br />
Winter semester: 1 August, summer semester: 1 February</p>"
4775,Master in Industrial Informatics 每 Specialisation Industrial Cyber-Physical Systems,Hochschule Emden/Leer - University of Applied Sciences,"<p>Non-EU applicants, winter semester &ndash; 30 May<br />
Non-EU applicants, summer semester &ndash; 30 November<br />
German &amp; EU applicants, winter semester &ndash; 15 July<br />
German &amp; EU applicants, summer semester &ndash; 15 January</p>"
7784,Master of Science in Artificial Intelligence Engineering,University of Passau,"<p>The application round for the April intake starts in mid-November of the previous year. For the October intake, the application round starts in early April. As the application deadlines can currently change on short notice, we ask that you check <a href=http://www.uni-passau.de/en/apply/?pk_campaign=DAADIPG"">our application pages</a> closer to the time for the specific dates (and what documents you need to submit).</p>"""
5625,Master of Science in Computer Engineering,Paderborn University,"<p>Winter semester (starting in October): 31 May<br />
Summer semester (starting in April): 30 November</p>"
3736,Master of Science in Computer Science,University of Freiburg,"<p><strong>Non-EU applicants</strong>: 31 May for admission to the winter semester, 15 December for admission to the summer semester</p>

<p><strong>EU applicants</strong>: 15 July for admission to the winter semester, 15 January for admission to the summer semester</p>"
4455,Master of Science in Computer Science,University of Passau,"<p>The application round for the April intake starts in mid-November of the previous year; for the October intake, the application round starts in early April. As the application deadlines can currently change on short notice, we ask that you check <a href=http://www.uni-passau.de/en/apply/?pk_campaign=DAADIPG"">our application pages</a> closer to the time for the specific dates (and what documents you need to submit).</p>"""
5616,Master of Science in Computer Science,Paderborn University,"<p>Winter semester (starting in October): 31 May<br />
Summer semester (starting in April): 30 November</p>"
6148,Master of Science in Computer Science,Kiel University,<p>The application deadline for the summer semester is 15 January. The application deadline for the winter semester is 15 July.</p>
5351,Master of Science in Data Science,Trier University,"<p>Non-EU citizens:</p>

<ul>
	<li>31 May 2023 for the winter semester 2023/24 and the summer semester 2024</li>
	<li>15 January 2024 for the summer semester 2024 and the winter semester 2024/25</li>
</ul>

<p>EU citizens:</p>

<ul>
	<li>15 July 2023 for the winter semester 2023/24 and the summer semester 2024</li>
	<li>15 January 2024 for the summer semester 2024 and the winter semester 2024/25</li>
</ul>

<p>Applicants with a BA or MA degree from a German university:</p>

<ul>
	<li>15 September 2023 for the winter semester 2023/24 and the summer semester 2024</li>
	<li>15 March 2024 for the summer semester 2024 and the winter semester 2024/25</li>
</ul>

<p>Non-EU citizens:</p>

<ul>
	<li>31 May 2023&nbsp;for the winter semester 2023/2024</li>
	<li>No application for the summer semester 2023 possible</li>
</ul>

<p>EU citizens:</p>

<ul>
	<li>&nbsp;15 July 2023&nbsp;for the winter semester 2023/2024</li>
	<li>&nbsp;15 January 2023 for the summer semester 2023</li>
</ul>

<p>Applicants with German university admission qualifications:</p>

<ul>
	<li>15 September 2023&nbsp;for the winter semester 2023/2024</li>
	<li>15 March 2023 for the summer semester&nbsp;2023</li>
</ul>"
4360,Master of Science in Embedded Systems Engineering,University of Freiburg,"<p><strong>Non-EU citizens</strong>: 15 December for the summer semester, 15 May for the winter semester<br />
<strong>EU citizens</strong>: 15 January for the summer semester, 15 July for the winter semester</p>"
3789,Master of Science in Environmental Sciences (MSc ES) (and DigES),Trier University,"<p>Non-EU citizens:</p>

<ul>
	<li>31 May 2023 for the winter semester 2023/24 and the summer semester 2024</li>
	<li>15 January 2024 for the summer semester 2024 and the winter semester 2024/25</li>
</ul>

<p>EU citizens:</p>

<ul>
	<li>15 July 2023 for the winter semester 2023/24 and the summer semester 2024</li>
	<li>15 January 2024 for the summer semester 2024 and the winter semester 2024/25</li>
</ul>

<p>Applicants with a BA or MA degree from a German university:</p>

<ul>
	<li>15 September 2023 for the winter semester 2023/24 and the summer semester 2024</li>
	<li>15 March 2024 for the summer semester 2024 and the winter semester 2024/25</li>
</ul>"
6304,Master of Science in Geoinformatics,Trier University,"<p>Non-EU citizens:</p>

<ul>
	<li>31 May 2023 for the winter semester 2023/24 and the summer semester 2024</li>
	<li>15 January 2024 for the summer semester 2024 and the winter semester 2024/25</li>
</ul>

<p>EU citizens:</p>

<ul>
	<li>15 July 2023 for the winter semester 2023/24 and the summer semester 2024</li>
	<li>15 January 2024 for the summer semester 2024 and the winter semester 2024/25</li>
</ul>

<p>Applicants with a BA or MA degree from a German university:</p>

<ul>
	<li>15 September 2023 for the winter semester 2023/24 and the summer semester 2024</li>
	<li>15 March 2024 for the summer semester 2024 and the winter semester 2024/25</li>
</ul>"
4521,Master of Science in International Software Systems Science,University of Bamberg,"<p>EU applicants: The registration is open from 15 March for the summer semester and 15 September for the winter semester.<br />
Non-EU applicants: The registration is open from 1 June for the following winter semester and from 1 December for the following summer semester.</p>"
7708,Master of Science in Natural Language Processing,Trier University,"<p>Non-EU citizens:</p>

<ul>
	<li>31 May 2023 for the winter semester 2023/24 and the summer semester 2024</li>
	<li>15 January 2024 for the summer semester 2024 and the winter semester 2024/25</li>
</ul>

<p>EU citizens:</p>

<ul>
	<li>15 July 2023 for the winter semester 2023/24 and the summer semester 2024</li>
	<li>15 January 2024 for the summer semester 2024 and the winter semester 2024/25</li>
</ul>

<p>Applicants with a BA or MA degree from a German university:</p>

<ul>
	<li>15 September 2023 for the winter semester 2023/24 and the summer semester 2024</li>
	<li>15 March 2024 for the summer semester 2024 and the winter semester 2024/25</li>
</ul>"
4443,Master of Science in Scientific Computing,Heidelberg University,<p>Final deadline: 15 June (for the following winter semester) and 15 November (for the following summer semester)</p>
7021,Master's in Computational Linguistics,Heidelberg University,"<ul>
	<li>15 June for the following winter semester</li>
	<li>15 November for the following summer semester</li>
</ul>"
4258,Master's in Distributed Software Systems,Technical University of Darmstadt,"<p>15 July for the following winter semester<br />
15 January for the following summer semester</p>

<p>Dates for the written entrance exam:</p>

<p>September for the following winter semester<br />
March for the following summer semester</p>"
5292,Master's Programme in Speech and Language Processing,University of Konstanz,"<p>For all applicants:</p>

<p>15 June for the following winter semester<br />
15 January for the following summer semester</p>"
4579,"Mathematical Modelling, Simulation and Optimisation (MSc)",University of Koblenz,"<ul>
	<li>EU applicants:<br />
	15 January for the summer semester<br />
	15 July for the winter semester</li>
</ul>

<ul>
	<li>Non-EU applicants:<br />
	15 December for the summer semester<br />
	15 June for the winter semester<br />
	Due to the long visa application process, we strongly advise non-EU students to apply for the summer semester by 15 November and for the winter semester by 15 May.</li>
</ul>"
3669,Mathematics (MSc),University of G?ttingen,<p>The application deadlines are the middle of January for the summer semester (starting in April) and the middle of July for the winter semester (starting in October).</p>
4758,Mathematics and Computer Science (MSc),Saarland University,"<p>Application deadlines:<br />
15 November for the following summer semester<br />
15 May for the following winter semester</p>

<p>International applications are very welcome.</p>"
4850,Mathematics in Data Science,Technical University Munich,"<p>Winter semester: 1 January to 31 May<br />
Summer semester: 1 September to 30 November</p>"
7640,Media Informatics (MSc),University of T邦bingen,"<p>Non-EU applicants: 15 July for the following winter semester, 15 January for the following summer semester</p>

<p>EU applicants: 30 September for the following the winter semester, 15&nbsp;March for the following summer semester</p>"
4147,Media Technology MSc Programme,Technische Universit?t Ilmenau,"<p>Winter semester:</p>

<ul>
	<li>Application period for students with international certificates: 16 January to 15 May</li>
	<li>Application period for students with German certificates: 16 April to 15 September</li>
</ul>

<p>Summer semester:</p>

<ul>
	<li>Application period for students with international certificates: 16 July to 15 November</li>
	<li>Application period for students with German certificates: 16 October to 15 March</li>
</ul>

<p>Foreign applicants who need to apply for a visa to enter Germany should submit their application at least three months before the application deadline.</p>"
6104,Medical Informatics (MSc),University of T邦bingen,"<p>Non-EU applicants: 15 July for the following winter semester, 15 January for the following summer semester</p>

<p>EU applicants: 15 September for the following the winter semester, 15&nbsp;March for the following summer semester</p>"
6905,Medical Systems Engineering (MSE),Otto von Guericke University Magdeburg,"<p>Internationals: 15 December<br />
Nationals: 15 March</p>"
7691,MEng Artificial Intelligence for Smart Sensors and Actuators,Deggendorf Institute of Technology,"<p>15 November to 15 January for March entries (summer semester)<br />
15 April to 15 July&nbsp;for October entries (winter semester)</p>"
4870,MSc Applied Computer Science,Deggendorf Institute of Technology,"<p>15 April to 15 July for October entries (winter semester)<br />
15 November to 15 January for March entries (summer semester)</p>"
7124,MSc Artificial Intelligence and Data Science,Deggendorf Institute of Technology,<p>15 November to 15 January for March entries (summer semester at DIT / winter semester at University of South Bohemia)</p>
8343,MSc Big Data & Business Analytics,FOM University of Applied Sciences,"<p>1 June for the following winter semester<br />
1 December for the following summer semester</p>"
7744,MSc High Performance Computing / Quantum Computing,Deggendorf Institute of Technology,<p>15 November to 15 January for March entries (summer semester)</p>
8411,MSc Industry 4.0 & Management,FOM University of Applied Sciences,"<p>1 June for the following winter semester<br />
1 December for the following summer semester</p>"
4062,MSc Systems Engineering & Engineering Management,South Westphalia University of Applied Sciences,"<p>15 May for the winter semester<br />
15 November for the summer semester</p>"
8336,Quantum Science,University of Siegen,"<p>For details about the application deadlines, contact us at <a href=mailto:quantumscience@uni-siegen.de"">quantumscience@uni-siegen.de</a>.</p>"""
